job_title,salary_usd,experience_level,employment_type,company_location,remote_ratio,required_skills,education_required,years_experience,industry,company_size,posting_date,year,company_name
Principal Data Scientist,252601,Executive,Part-time,Norway,Fully remote,"Kubernetes, SQL, AWS, Git, Computer Vision",Master,19,Gaming,Large(>250),24-07-2024,2024,TechCorp Inc
AI Product Manager,20520,Entry,Full-time,India,No remote,"Hadoop, Git, Computer Vision, Kubernetes, Data Visualization",Master,0,Gaming,Small(<50),22-08-2024,2024,Predictive Systems
Robotics Engineer,192789,Senior,Part-time,Switzerland,Fully remote,"Tableau, Git, Python, Java",Master,5,Healthcare,Small(<50),27-03-2024,2024,Quantum Computing Inc
Machine Learning Researcher,107184,Senior,Freelance,Singapore,Hybrid,"Azure, GCP, Computer Vision",Master,7,Automotive,Small(<50),07-05-2024,2024,DeepTech Ventures
Robotics Engineer,141909,Senior,Full-time,Netherlands,No remote,"Git, Kubernetes, MLOps, Spark",Associate,6,Healthcare,Mid(50-250),22-12-2024,2024,Cloud AI Solutions
Data Engineer,118238,Senior,Freelance,Ireland,Fully remote,"AWS, Python, Azure, SQL, Computer Vision",Associate,7,Education,Mid(50-250),07-11-2024,2024,TechCorp Inc
Data Scientist,155210,Senior,Part-time,Australia,No remote,"Spark, NLP, AWS",Master,7,Energy,Large(>250),24-01-2025,2025,Neural Networks Co
Data Engineer,96699,Senior,Full-time,Australia,No remote,"GCP, Linux, Mathematics",PhD,5,Technology,Small(<50),29-03-2025,2025,TechCorp Inc
AI Software Engineer,161477,Senior,Full-time,France,Hybrid,"Mathematics, Spark, Linux",Bachelor,8,Real Estate,Large(>250),04-02-2025,2025,DataVision Ltd
AI Software Engineer,316709,Executive,Contract,Denmark,Hybrid,"Data Visualization, Azure, Statistics",PhD,18,Transportation,Large(>250),29-04-2025,2025,Autonomous Tech
ML Ops Engineer,62089,Mid,Contract,Canada,Hybrid,"Python, GCP, Linux, SQL, Deep Learning",PhD,3,Media,Small(<50),18-03-2024,2024,Predictive Systems
Principal Data Scientist,77985,Entry,Contract,Denmark,No remote,"SQL, TensorFlow, Computer Vision, Kubernetes",Associate,0,Automotive,Small(<50),07-03-2025,2025,Neural Networks Co
Robotics Engineer,55315,Entry,Part-time,Austria,No remote,"Spark, Deep Learning, SQL, NLP, Python",PhD,0,Media,Small(<50),09-01-2025,2025,Future Systems
AI Architect,246647,Executive,Part-time,Singapore,Hybrid,"Scala, Mathematics, SQL",Master,16,Telecommunications,Mid(50-250),08-08-2024,2024,DeepTech Ventures
Deep Learning Engineer,29050,Entry,Full-time,China,No remote,"PyTorch, Kubernetes, Deep Learning, Hadoop",Associate,1,Consulting,Small(<50),06-02-2025,2025,AI Innovations
Head of AI,120599,Mid,Contract,United Kingdom,Hybrid,"Linux, AWS, Python",Master,4,Energy,Large(>250),21-09-2024,2024,Quantum Computing Inc
AI Specialist,277727,Executive,Part-time,Singapore,Hybrid,"Python, Git, TensorFlow",Associate,13,Healthcare,Large(>250),04-10-2024,2024,Future Systems
Data Engineer,158734,Executive,Part-time,Canada,Hybrid,"Data Visualization, NLP, Computer Vision",Master,16,Retail,Small(<50),20-05-2024,2024,Future Systems
Data Engineer,139438,Senior,Freelance,Japan,No remote,"Python, Spark, Git, Data Visualization, Docker",PhD,9,Retail,Large(>250),16-03-2025,2025,Cognitive Computing
Head of AI,131432,Senior,Part-time,Singapore,Hybrid,"Kubernetes, Data Visualization, Deep Learning, Azure, Computer Vision",Master,5,Manufacturing,Mid(50-250),03-05-2024,2024,Cognitive Computing
Data Analyst,140290,Mid,Part-time,Denmark,Hybrid,"PyTorch, SQL, R, Azure",Associate,4,Real Estate,Large(>250),18-07-2024,2024,DeepTech Ventures
Research Scientist,90858,Mid,Contract,France,Hybrid,"Scala, PyTorch, Deep Learning, Kubernetes, Java",Bachelor,2,Real Estate,Large(>250),13-08-2024,2024,DataVision Ltd
Autonomous Systems Engineer,126597,Senior,Freelance,United Kingdom,Hybrid,"PyTorch, Java, TensorFlow, Computer Vision, SQL",Master,6,Government,Large(>250),30-03-2024,2024,Machine Intelligence Group
AI Architect,53274,Entry,Freelance,Finland,Fully remote,"Spark, Python, Statistics, Hadoop, TensorFlow",Associate,0,Automotive,Mid(50-250),22-03-2025,2025,Autonomous Tech
Machine Learning Researcher,155357,Executive,Freelance,Sweden,Fully remote,"TensorFlow, SQL, Computer Vision, Kubernetes",Bachelor,17,Real Estate,Small(<50),11-12-2024,2024,Cloud AI Solutions
Principal Data Scientist,116292,Mid,Freelance,Netherlands,Hybrid,"Java, Docker, Python",Bachelor,4,Gaming,Mid(50-250),28-07-2024,2024,Quantum Computing Inc
Computer Vision Engineer,140363,Senior,Contract,Austria,Fully remote,"MLOps, Hadoop, TensorFlow, Kubernetes",Master,6,Manufacturing,Large(>250),31-01-2025,2025,TechCorp Inc
Research Scientist,162306,Senior,Contract,Israel,No remote,"Statistics, SQL, Tableau, Hadoop, R",Master,9,Energy,Large(>250),12-11-2024,2024,Neural Networks Co
Data Analyst,134224,Executive,Full-time,China,No remote,"Python, SQL, Git",Master,16,Technology,Large(>250),13-10-2024,2024,Quantum Computing Inc
Research Scientist,77500,Mid,Contract,United Kingdom,No remote,"Mathematics, Hadoop, TensorFlow",PhD,3,Technology,Small(<50),20-08-2024,2024,Machine Intelligence Group
Computer Vision Engineer,154083,Senior,Part-time,Ireland,Hybrid,"Hadoop, Python, Deep Learning",Associate,7,Manufacturing,Large(>250),09-01-2024,2024,Neural Networks Co
Machine Learning Engineer,79445,Mid,Freelance,Ireland,Hybrid,"Python, Statistics, TensorFlow, Computer Vision",Bachelor,4,Real Estate,Mid(50-250),28-09-2024,2024,Cloud AI Solutions
Head of AI,157466,Senior,Freelance,Switzerland,Fully remote,"Git, Data Visualization, Spark, Computer Vision, Azure",Associate,8,Automotive,Mid(50-250),21-01-2024,2024,Future Systems
Head of AI,38972,Mid,Full-time,India,No remote,"Kubernetes, Mathematics, TensorFlow, MLOps",PhD,4,Real Estate,Large(>250),28-01-2024,2024,AI Innovations
Deep Learning Engineer,66090,Mid,Part-time,Canada,No remote,"AWS, SQL, R, Scala",PhD,3,Technology,Small(<50),10-04-2025,2025,DeepTech Ventures
Data Analyst,47943,Mid,Part-time,China,Hybrid,"TensorFlow, Mathematics, NLP, Docker",PhD,2,Finance,Large(>250),23-11-2024,2024,Smart Analytics
ML Ops Engineer,217318,Executive,Part-time,Ireland,Fully remote,"SQL, PyTorch, Hadoop",Bachelor,17,Finance,Mid(50-250),14-11-2024,2024,Cognitive Computing
AI Architect,84705,Mid,Contract,Norway,Hybrid,"Scala, Spark, PyTorch",PhD,3,Government,Small(<50),19-12-2024,2024,Autonomous Tech
NLP Engineer,36076,Senior,Full-time,India,Hybrid,"Python, TensorFlow, Data Visualization",Master,7,Media,Mid(50-250),14-08-2024,2024,Cognitive Computing
AI Consultant,160216,Executive,Full-time,Israel,Fully remote,"Deep Learning, Linux, Python, SQL",Master,15,Education,Large(>250),09-05-2024,2024,Predictive Systems
Deep Learning Engineer,60826,Entry,Full-time,United Kingdom,No remote,"SQL, Kubernetes, Azure",Bachelor,0,Energy,Small(<50),02-11-2024,2024,Autonomous Tech
Deep Learning Engineer,237320,Executive,Part-time,United Kingdom,No remote,"Kubernetes, MLOps, Scala",Bachelor,16,Real Estate,Mid(50-250),12-11-2024,2024,DataVision Ltd
Robotics Engineer,60243,Entry,Freelance,France,Fully remote,"Scala, PyTorch, Data Visualization, Linux, Mathematics",Master,1,Healthcare,Mid(50-250),05-12-2024,2024,Future Systems
Head of AI,74091,Entry,Part-time,Japan,Hybrid,"Deep Learning, NLP, R, Linux, SQL",Bachelor,1,Consulting,Mid(50-250),18-01-2025,2025,Quantum Computing Inc
AI Specialist,68535,Entry,Full-time,France,Fully remote,"SQL, Scala, PyTorch",Associate,1,Media,Large(>250),01-05-2024,2024,Machine Intelligence Group
Robotics Engineer,99401,Mid,Freelance,Norway,Hybrid,"Hadoop, Kubernetes, Data Visualization, Python, Linux",Bachelor,3,Healthcare,Small(<50),20-03-2024,2024,Quantum Computing Inc
Machine Learning Researcher,67632,Entry,Full-time,Ireland,No remote,"Linux, GCP, Deep Learning",Master,0,Government,Large(>250),13-07-2024,2024,Advanced Robotics
ML Ops Engineer,133163,Senior,Contract,Netherlands,No remote,"SQL, Statistics, MLOps, PyTorch, Kubernetes",Associate,6,Media,Mid(50-250),03-01-2025,2025,Neural Networks Co
Robotics Engineer,125752,Mid,Full-time,Norway,No remote,"NLP, Statistics, Scala",Master,4,Automotive,Small(<50),17-05-2024,2024,Machine Intelligence Group
AI Product Manager,70927,Entry,Contract,Japan,No remote,"Git, Computer Vision, Docker, SQL, Hadoop",Associate,1,Technology,Mid(50-250),07-03-2024,2024,Quantum Computing Inc
Data Engineer,80810,Entry,Part-time,United Kingdom,No remote,"Azure, MLOps, Python, Linux, TensorFlow",Master,1,Energy,Large(>250),30-10-2024,2024,Algorithmic Solutions
Machine Learning Engineer,59614,Entry,Contract,Singapore,Fully remote,"Java, Kubernetes, GCP, Linux, Data Visualization",Associate,1,Healthcare,Small(<50),07-11-2024,2024,Quantum Computing Inc
Robotics Engineer,151907,Executive,Full-time,Germany,Hybrid,"Python, R, MLOps",Associate,16,Media,Small(<50),21-09-2024,2024,Quantum Computing Inc
Data Scientist,76317,Executive,Contract,India,No remote,"TensorFlow, Deep Learning, Spark",Bachelor,14,Energy,Mid(50-250),19-06-2024,2024,DataVision Ltd
AI Research Scientist,160534,Senior,Freelance,Denmark,Fully remote,"GCP, SQL, MLOps",Master,9,Gaming,Mid(50-250),10-06-2024,2024,Advanced Robotics
AI Consultant,40687,Mid,Full-time,India,Hybrid,"SQL, R, GCP, PyTorch, AWS",Master,3,Transportation,Large(>250),16-07-2024,2024,Algorithmic Solutions
Computer Vision Engineer,129265,Senior,Freelance,Australia,No remote,"Java, Scala, TensorFlow",Master,5,Consulting,Small(<50),06-04-2025,2025,DataVision Ltd
NLP Engineer,94396,Executive,Part-time,China,Fully remote,"Scala, Python, Tableau, Mathematics",Master,18,Government,Mid(50-250),30-07-2024,2024,Advanced Robotics
NLP Engineer,158237,Executive,Contract,South Korea,No remote,"Python, NLP, GCP",Master,11,Finance,Large(>250),24-01-2025,2025,Quantum Computing Inc
Robotics Engineer,239068,Executive,Part-time,Denmark,Hybrid,"TensorFlow, Java, NLP, Hadoop, GCP",PhD,18,Media,Large(>250),26-08-2024,2024,Autonomous Tech
Robotics Engineer,81401,Mid,Freelance,Finland,No remote,"Java, Spark, Data Visualization, AWS, Git",Associate,2,Retail,Mid(50-250),07-02-2025,2025,Future Systems
AI Specialist,144229,Mid,Full-time,Switzerland,No remote,"Python, TensorFlow, MLOps, PyTorch",PhD,2,Media,Mid(50-250),02-01-2024,2024,DeepTech Ventures
AI Consultant,78936,Mid,Freelance,Germany,No remote,"Mathematics, Tableau, R, NLP, SQL",Bachelor,4,Consulting,Small(<50),30-11-2024,2024,Cloud AI Solutions
AI Consultant,101054,Senior,Part-time,South Korea,No remote,"PyTorch, Python, TensorFlow",Bachelor,6,Healthcare,Large(>250),04-02-2025,2025,DeepTech Ventures
AI Specialist,91807,Senior,Full-time,Austria,Hybrid,"Linux, Azure, Scala, Python",Master,9,Education,Small(<50),21-07-2024,2024,TechCorp Inc
Machine Learning Engineer,49858,Entry,Contract,Austria,Fully remote,"PyTorch, Spark, Linux",Bachelor,1,Healthcare,Small(<50),25-01-2024,2024,AI Innovations
Robotics Engineer,80596,Entry,Full-time,Austria,No remote,"Kubernetes, Scala, PyTorch, Mathematics",Master,1,Education,Large(>250),27-06-2024,2024,Digital Transformation LLC
Head of AI,76026,Mid,Full-time,Sweden,Hybrid,"Tableau, SQL, R, Scala",PhD,4,Healthcare,Mid(50-250),12-02-2025,2025,Predictive Systems
Deep Learning Engineer,84841,Mid,Contract,Sweden,No remote,"Azure, Linux, TensorFlow, GCP",Associate,4,Transportation,Large(>250),18-11-2024,2024,Cognitive Computing
Data Scientist,158900,Senior,Freelance,Switzerland,Hybrid,"Python, Statistics, Mathematics, Docker, TensorFlow",Associate,8,Finance,Mid(50-250),14-06-2024,2024,Quantum Computing Inc
Autonomous Systems Engineer,153858,Executive,Contract,Germany,Hybrid,"MLOps, Azure, Java",Master,13,Gaming,Small(<50),29-04-2025,2025,Cloud AI Solutions
Data Scientist,115314,Mid,Contract,Denmark,No remote,"Java, Git, R, Azure",Bachelor,3,Real Estate,Mid(50-250),01-06-2024,2024,Smart Analytics
Machine Learning Engineer,181068,Executive,Full-time,Israel,Fully remote,"R, Java, Hadoop, Mathematics",PhD,13,Transportation,Small(<50),26-01-2024,2024,Machine Intelligence Group
AI Software Engineer,119021,Entry,Full-time,Denmark,No remote,"Computer Vision, Docker, Linux, GCP",PhD,1,Transportation,Large(>250),07-03-2025,2025,DataVision Ltd
Data Analyst,219746,Executive,Freelance,Israel,Fully remote,"R, Python, Scala, TensorFlow",PhD,15,Finance,Mid(50-250),02-07-2024,2024,Smart Analytics
AI Consultant,115774,Executive,Freelance,China,Hybrid,"Hadoop, Scala, NLP, PyTorch, SQL",Associate,10,Real Estate,Large(>250),04-02-2024,2024,DataVision Ltd
AI Consultant,130984,Entry,Part-time,Switzerland,Hybrid,"MLOps, Deep Learning, Kubernetes, Azure, GCP",Bachelor,1,Retail,Large(>250),08-01-2024,2024,DataVision Ltd
ML Ops Engineer,191223,Executive,Full-time,Switzerland,No remote,"NLP, Azure, SQL",PhD,18,Healthcare,Small(<50),07-04-2024,2024,Neural Networks Co
AI Consultant,155502,Senior,Full-time,Norway,Hybrid,"Python, NLP, AWS, Spark",PhD,9,Consulting,Mid(50-250),29-01-2025,2025,Future Systems
AI Specialist,86140,Mid,Part-time,Germany,Hybrid,"Scala, Kubernetes, Deep Learning, AWS",Master,4,Real Estate,Large(>250),11-03-2025,2025,Predictive Systems
AI Architect,96028,Mid,Freelance,United Kingdom,No remote,"Data Visualization, MLOps, GCP, PyTorch",Bachelor,4,Healthcare,Large(>250),09-03-2025,2025,Future Systems
Principal Data Scientist,134920,Senior,Part-time,United States,No remote,"SQL, Mathematics, Data Visualization, Kubernetes",Associate,7,Consulting,Small(<50),03-04-2025,2025,Predictive Systems
Research Scientist,107694,Senior,Freelance,Ireland,Hybrid,"Spark, Linux, MLOps, R",Associate,5,Retail,Mid(50-250),20-03-2024,2024,Future Systems
Deep Learning Engineer,114301,Mid,Full-time,Finland,No remote,"Tableau, MLOps, Python",Bachelor,4,Real Estate,Large(>250),08-02-2025,2025,Digital Transformation LLC
Machine Learning Researcher,92728,Mid,Full-time,United Kingdom,No remote,"NLP, Git, Kubernetes, Azure",Bachelor,4,Transportation,Large(>250),25-12-2024,2024,Cognitive Computing
NLP Engineer,76826,Entry,Part-time,Singapore,Hybrid,"Git, R, Statistics, PyTorch, Deep Learning",Bachelor,1,Government,Mid(50-250),08-04-2025,2025,Predictive Systems
AI Consultant,48870,Senior,Part-time,India,No remote,"Hadoop, Java, Azure, Spark, Statistics",Associate,7,Healthcare,Large(>250),26-03-2025,2025,Cognitive Computing
Data Scientist,89527,Mid,Full-time,Australia,Hybrid,"Linux, Azure, SQL, R, Java",Master,4,Finance,Large(>250),09-12-2024,2024,Predictive Systems
Autonomous Systems Engineer,81103,Entry,Contract,Australia,No remote,"Mathematics, SQL, Kubernetes",Master,0,Media,Large(>250),26-05-2024,2024,Digital Transformation LLC
Machine Learning Engineer,283428,Executive,Contract,Denmark,No remote,"Python, TensorFlow, MLOps, Data Visualization",Associate,13,Healthcare,Large(>250),10-03-2025,2025,Smart Analytics
AI Product Manager,104906,Mid,Freelance,United States,Hybrid,"PyTorch, Java, Spark, Statistics",Bachelor,3,Technology,Small(<50),26-01-2025,2025,Cognitive Computing
AI Software Engineer,231496,Executive,Part-time,Finland,Hybrid,"Tableau, R, Kubernetes",Master,18,Automotive,Large(>250),13-02-2025,2025,DataVision Ltd
Robotics Engineer,147402,Senior,Full-time,Japan,Fully remote,"Azure, GCP, Scala, R, Python",Bachelor,8,Automotive,Large(>250),11-12-2024,2024,Algorithmic Solutions
Data Scientist,69331,Entry,Full-time,Austria,Fully remote,"AWS, Git, NLP, Java, Computer Vision",Master,1,Healthcare,Large(>250),11-04-2025,2025,AI Innovations
AI Consultant,215842,Executive,Contract,France,No remote,"Deep Learning, TensorFlow, Spark, Python",Bachelor,12,Healthcare,Small(<50),19-12-2024,2024,Machine Intelligence Group
Data Scientist,79833,Senior,Part-time,South Korea,No remote,"Java, SQL, PyTorch, TensorFlow, AWS",PhD,6,Healthcare,Small(<50),04-01-2024,2024,Predictive Systems
Data Scientist,304859,Executive,Full-time,Norway,Fully remote,"Linux, SQL, Mathematics",Bachelor,15,Media,Large(>250),22-03-2025,2025,Advanced Robotics
Research Scientist,112217,Senior,Contract,Germany,No remote,"Spark, Scala, Azure",Associate,8,Technology,Small(<50),07-03-2025,2025,Digital Transformation LLC
Head of AI,45738,Entry,Freelance,South Korea,Fully remote,"TensorFlow, Hadoop, Spark",Associate,0,Manufacturing,Mid(50-250),17-03-2024,2024,DeepTech Ventures
Machine Learning Researcher,195309,Executive,Part-time,Germany,Hybrid,"SQL, Tableau, PyTorch, NLP",Bachelor,18,Consulting,Small(<50),14-12-2024,2024,DeepTech Ventures
Data Scientist,141439,Senior,Freelance,United States,Hybrid,"Kubernetes, GCP, Git, SQL",PhD,9,Retail,Large(>250),24-06-2024,2024,Digital Transformation LLC
AI Consultant,125836,Mid,Full-time,Norway,Fully remote,"Statistics, Kubernetes, Spark, GCP",Master,2,Transportation,Large(>250),27-12-2024,2024,Predictive Systems
Machine Learning Researcher,58213,Entry,Full-time,Israel,Hybrid,"Azure, Linux, Kubernetes",PhD,0,Telecommunications,Small(<50),13-04-2025,2025,Cloud AI Solutions
ML Ops Engineer,82191,Mid,Contract,Germany,No remote,"Spark, GCP, Hadoop",Bachelor,2,Media,Mid(50-250),05-08-2024,2024,Quantum Computing Inc
Machine Learning Researcher,207975,Executive,Contract,Australia,No remote,"SQL, Azure, Computer Vision",Master,13,Telecommunications,Small(<50),21-02-2025,2025,Future Systems
Computer Vision Engineer,115664,Senior,Part-time,Ireland,No remote,"TensorFlow, R, Data Visualization",Bachelor,7,Automotive,Mid(50-250),27-03-2024,2024,Smart Analytics
AI Software Engineer,109337,Senior,Part-time,Ireland,Hybrid,"Data Visualization, PyTorch, Python, Mathematics, Git",Associate,9,Government,Mid(50-250),26-04-2025,2025,Predictive Systems
Data Analyst,115386,Senior,Part-time,Finland,Fully remote,"MLOps, Statistics, Hadoop, SQL",Associate,7,Energy,Mid(50-250),02-09-2024,2024,Smart Analytics
Autonomous Systems Engineer,64431,Entry,Full-time,United Kingdom,Hybrid,"Git, Deep Learning, Python, Statistics, TensorFlow",Bachelor,1,Automotive,Large(>250),25-01-2025,2025,DeepTech Ventures
Data Engineer,108088,Senior,Freelance,United States,Fully remote,"Tableau, Python, Docker, Azure",Bachelor,9,Consulting,Small(<50),07-10-2024,2024,Smart Analytics
ML Ops Engineer,228314,Executive,Full-time,United Kingdom,Hybrid,"Java, Hadoop, SQL, Statistics, TensorFlow",Master,16,Telecommunications,Large(>250),18-10-2024,2024,Cognitive Computing
Data Scientist,153260,Senior,Contract,Australia,No remote,"MLOps, Java, NLP",Master,9,Education,Large(>250),02-04-2025,2025,DataVision Ltd
Data Scientist,63667,Mid,Contract,Israel,Fully remote,"R, Data Visualization, SQL, NLP",PhD,4,Energy,Small(<50),20-03-2025,2025,Algorithmic Solutions
Research Scientist,31185,Mid,Freelance,China,Fully remote,"AWS, GCP, NLP, SQL, Statistics",Associate,3,Healthcare,Small(<50),11-03-2025,2025,Neural Networks Co
Machine Learning Engineer,132167,Senior,Part-time,Germany,Hybrid,"MLOps, Docker, Linux, Computer Vision",Bachelor,9,Education,Mid(50-250),04-08-2024,2024,Quantum Computing Inc
AI Research Scientist,223349,Executive,Freelance,Japan,Fully remote,"PyTorch, Mathematics, TensorFlow",Bachelor,11,Gaming,Large(>250),31-07-2024,2024,Smart Analytics
AI Architect,26957,Entry,Contract,India,Fully remote,"Azure, Computer Vision, Statistics",Bachelor,1,Transportation,Mid(50-250),23-03-2025,2025,DataVision Ltd
AI Software Engineer,93564,Mid,Contract,Sweden,No remote,"PyTorch, Docker, Data Visualization, Scala, Computer Vision",Associate,2,Transportation,Small(<50),25-03-2025,2025,Advanced Robotics
Computer Vision Engineer,113846,Senior,Part-time,France,Fully remote,"SQL, Git, R, Hadoop, Docker",Associate,6,Energy,Small(<50),02-09-2024,2024,DataVision Ltd
AI Specialist,147580,Executive,Freelance,France,No remote,"Linux, Deep Learning, Hadoop, Kubernetes, Docker",PhD,17,Telecommunications,Mid(50-250),13-11-2024,2024,Cloud AI Solutions
Data Engineer,50514,Entry,Part-time,Canada,Fully remote,"SQL, PyTorch, Tableau, NLP",PhD,1,Automotive,Mid(50-250),04-08-2024,2024,Cognitive Computing
AI Product Manager,94158,Mid,Freelance,Germany,Fully remote,"PyTorch, R, Scala",Master,2,Education,Mid(50-250),01-09-2024,2024,Future Systems
Principal Data Scientist,161009,Executive,Freelance,Netherlands,Hybrid,"Kubernetes, AWS, GCP",Associate,19,Transportation,Mid(50-250),17-02-2024,2024,Cognitive Computing
Data Analyst,91911,Executive,Full-time,India,Fully remote,"PyTorch, SQL, Azure, Docker",Associate,15,Technology,Large(>250),15-06-2024,2024,Cloud AI Solutions
AI Specialist,248071,Executive,Freelance,Germany,Hybrid,"Kubernetes, R, GCP",Bachelor,15,Consulting,Mid(50-250),13-04-2025,2025,Future Systems
Autonomous Systems Engineer,150204,Senior,Part-time,Germany,Hybrid,"Docker, Linux, Kubernetes, Data Visualization",Bachelor,9,Transportation,Mid(50-250),18-03-2025,2025,Neural Networks Co
AI Product Manager,181517,Senior,Contract,Netherlands,Hybrid,"SQL, Kubernetes, NLP, MLOps",PhD,9,Government,Large(>250),13-08-2024,2024,TechCorp Inc
Data Analyst,64573,Entry,Part-time,France,Fully remote,"Kubernetes, GCP, Mathematics, Python",Master,1,Government,Large(>250),19-07-2024,2024,AI Innovations
ML Ops Engineer,89332,Mid,Contract,United States,Fully remote,"Python, TensorFlow, Deep Learning, Docker, PyTorch",Bachelor,4,Finance,Small(<50),20-08-2024,2024,Predictive Systems
Machine Learning Engineer,118239,Senior,Freelance,Sweden,Hybrid,"AWS, Hadoop, PyTorch, Statistics, Azure",PhD,9,Energy,Small(<50),03-08-2024,2024,Future Systems
AI Specialist,103715,Mid,Full-time,Japan,Hybrid,"Python, Azure, Statistics",Bachelor,4,Automotive,Small(<50),11-12-2024,2024,Neural Networks Co
AI Consultant,151680,Executive,Freelance,Australia,Fully remote,"Computer Vision, AWS, Kubernetes",Associate,14,Manufacturing,Small(<50),20-06-2024,2024,Cognitive Computing
Data Analyst,142589,Senior,Full-time,Netherlands,No remote,"Docker, Tableau, Kubernetes, Data Visualization, GCP",Master,8,Government,Large(>250),25-10-2024,2024,Predictive Systems
Research Scientist,63062,Entry,Part-time,Sweden,Hybrid,"PyTorch, R, Mathematics, Kubernetes",Associate,1,Real Estate,Large(>250),05-09-2024,2024,Smart Analytics
Data Engineer,80691,Entry,Contract,Japan,Fully remote,"Deep Learning, Computer Vision, PyTorch, Statistics, Spark",Master,1,Retail,Large(>250),21-12-2024,2024,DataVision Ltd
Data Analyst,171580,Senior,Part-time,Japan,Fully remote,"SQL, Spark, MLOps",PhD,7,Manufacturing,Large(>250),14-10-2024,2024,Predictive Systems
Autonomous Systems Engineer,58331,Senior,Part-time,China,No remote,"Hadoop, Java, NLP, Mathematics, Python",Master,5,Transportation,Mid(50-250),23-11-2024,2024,Cognitive Computing
Head of AI,85620,Mid,Full-time,Canada,Fully remote,"TensorFlow, GCP, MLOps, NLP",Associate,4,Healthcare,Large(>250),22-01-2025,2025,Quantum Computing Inc
AI Consultant,220871,Executive,Full-time,Austria,No remote,"Linux, Tableau, Spark, Scala",Associate,14,Automotive,Mid(50-250),28-06-2024,2024,DeepTech Ventures
ML Ops Engineer,93007,Mid,Contract,France,Hybrid,"Docker, SQL, MLOps, GCP, Hadoop",Bachelor,4,Energy,Mid(50-250),05-06-2024,2024,Cognitive Computing
AI Specialist,191783,Executive,Full-time,Singapore,Fully remote,"Java, GCP, PyTorch",PhD,14,Healthcare,Small(<50),04-10-2024,2024,Advanced Robotics
Head of AI,83683,Mid,Freelance,Israel,Hybrid,"Mathematics, Computer Vision, MLOps, Git, Deep Learning",Bachelor,3,Education,Small(<50),15-05-2024,2024,Smart Analytics
Research Scientist,107869,Senior,Freelance,Ireland,Hybrid,"SQL, Linux, GCP",Associate,8,Finance,Small(<50),17-02-2024,2024,Predictive Systems
Autonomous Systems Engineer,73528,Mid,Part-time,Sweden,No remote,"NLP, R, Git, MLOps",Associate,2,Finance,Small(<50),01-03-2024,2024,Algorithmic Solutions
NLP Engineer,47642,Mid,Freelance,China,Fully remote,"Python, TensorFlow, NLP",PhD,3,Telecommunications,Large(>250),22-11-2024,2024,DeepTech Ventures
AI Software Engineer,179937,Senior,Part-time,Netherlands,Hybrid,"Python, TensorFlow, NLP, Kubernetes",Associate,6,Real Estate,Large(>250),01-06-2024,2024,Machine Intelligence Group
